Transaction,Item,date_time
1,Bread,30-10-2016 09:58
2,Scandinavian,30-10-2016 10:05
2,Scandinavian,30-10-2016 10:05
3,Hot chocolate,30-10-2016 10:07
3,Jam,30-10-2016 10:07
3,Cookies,30-10-2016 10:07
4,Muffin,30-10-2016 10:08
5,Coffee,30-10-2016 10:13
5,Pastry,30-10-2016 10:13
5,Bread,30-10-2016 10:13
6,Medialuna,30-10-2016 10:16
6,Pastry,30-10-2016 10:16
6,Muffin,30-10-2016 10:16
7,Medialuna,30-10-2016 10:19
7,Pastry,30-10-2016 10:19
7,Coffee,30-10-2016 10:19
7,Tea,30-10-2016 10:19
8,Pastry,30-10-2016 10:20
8,Bread,30-10-2016 10:20
9,Bread,30-10-2016 10:21
9,Muffin,30-10-2016 10:21
10,Scandinavian,30-10-2016 10:25
10,Medialuna,30-10-2016 10:25
11,Bread,30-10-2016 10:27
11,Medialuna,30-10-2016 10:27
11,Bread,30-10-2016 10:27
12,Jam,30-10-2016 10:30
12,Coffee,30-10-2016 10:30
12,Tartine,30-10-2016 10:30
12,Pastry,30-10-2016 10:30
12,Tea,30-10-2016 10:30
13,Basket,30-10-2016 10:31
13,Bread,30-10-2016 10:31
13,Coffee,30-10-2016 10:31
14,Bread,30-10-2016 10:32
14,Medialuna,30-10-2016 10:32
14,Pastry,30-10-2016 10:32
15,Mineral water,30-10-2016 10:34
15,Scandinavian,30-10-2016 10:34
16,Bread,30-10-2016 10:37
16,Medialuna,30-10-2016 10:37
16,Coffee,30-10-2016 10:37
17,Hot chocolate,30-10-2016 10:38
18,Farm House,30-10-2016 10:41
19,Farm House,30-10-2016 10:43
19,Bread,30-10-2016 10:43
20,Bread,30-10-2016 10:45
20,Medialuna,30-10-2016 10:45
21,Coffee,30-10-2016 10:49
21,Coffee,30-10-2016 10:49
21,Medialuna,30-10-2016 10:49
21,Bread,30-10-2016 10:49
22,Jam,30-10-2016 10:52
23,Scandinavian,30-10-2016 10:53
23,Muffin,30-10-2016 10:53
24,Bread,30-10-2016 10:54
25,Scandinavian,30-10-2016 10:55
26,Fudge,30-10-2016 10:56
27,Scandinavian,30-10-2016 11:02
28,Coffee,30-10-2016 11:03
28,Bread,30-10-2016 11:03
29,Bread,30-10-2016 11:05
29,Jam,30-10-2016 11:05
30,Bread,30-10-2016 11:07
31,Basket,30-10-2016 11:12
32,Scandinavian,30-10-2016 11:16
32,Muffin,30-10-2016 11:16
33,Coffee,30-10-2016 11:22
34,Coffee,30-10-2016 11:25
34,Muffin,30-10-2016 11:25
35,Muffin,30-10-2016 11:27
35,Scandinavian,30-10-2016 11:27
36,Tea,30-10-2016 11:33
36,Bread,30-10-2016 11:33
37,Coffee,30-10-2016 11:37
37,Bread,30-10-2016 11:37
38,Bread,30-10-2016 11:42
38,Tea,30-10-2016 11:42
39,Scandinavian,30-10-2016 11:44
40,Juice,30-10-2016 11:55
40,Tartine,30-10-2016 11:55
40,Coffee,30-10-2016 11:55
40,Muffin,30-10-2016 11:55
41,Scandinavian,30-10-2016 11:57
42,Bread,30-10-2016 11:57
42,Tea,30-10-2016 11:57
43,Scandinavian,30-10-2016 12:00
43,Fudge,30-10-2016 12:00
44,Coffee,30-10-2016 12:05
44,Medialuna,30-10-2016 12:05
45,Coffee,30-10-2016 12:08
45,Hot chocolate,30-10-2016 12:08
45,Medialuna,30-10-2016 12:08
46,Coffee,30-10-2016 12:09
47,Ella's Kitchen Pouches,30-10-2016 12:15
47,Juice,30-10-2016 12:15
47,Bread,30-10-2016 12:15
47,Muffin,30-10-2016 12:15
47,Jam,30-10-2016 12:15
48,Coffee,30-10-2016 12:17
49,Coffee,30-10-2016 12:23
49,Coffee,30-10-2016 12:23
49,Medialuna,30-10-2016 12:23
50,Bread,30-10-2016 12:25
50,Victorian Sponge,30-10-2016 12:25
51,Bread,30-10-2016 12:26
52,Scandinavian,30-10-2016 12:28
54,Bread,30-10-2016 12:33
55,Frittata,30-10-2016 12:38
55,Coffee,30-10-2016 12:38
55,Tea,30-10-2016 12:38
55,Hearty & Seasonal,30-10-2016 12:38
56,Coffee,30-10-2016 12:39
56,Frittata,30-10-2016 12:39
57,Scandinavian,30-10-2016 12:45
58,Victorian Sponge,30-10-2016 12:59
58,Hot chocolate,30-10-2016 12:59
58,Tea,30-10-2016 12:59
58,Soup,30-10-2016 12:59
59,Tea,30-10-2016 13:02
60,Cookies,30-10-2016 13:14
60,Coffee,30-10-2016 13:14
60,Juice,30-10-2016 13:14
60,Coffee,30-10-2016 13:14
61,Coffee,30-10-2016 13:15
62,Pick and Mix Bowls,30-10-2016 13:24
62,Hearty & Seasonal,30-10-2016 13:24
62,Hearty & Seasonal,30-10-2016 13:24
62,Coffee,30-10-2016 13:24
62,Smoothies,30-10-2016 13:24
62,Coffee,30-10-2016 13:24
63,Coffee,30-10-2016 13:33
64,Cake,30-10-2016 13:34
65,Tartine,30-10-2016 13:37
65,Mighty Protein,30-10-2016 13:37
65,Tea,30-10-2016 13:37
65,Coffee,30-10-2016 13:37
66,Hearty & Seasonal,30-10-2016 13:40
66,Frittata,30-10-2016 13:40
66,Mineral water,30-10-2016 13:40
67,Hearty & Seasonal,30-10-2016 13:46
67,Mineral water,30-10-2016 13:46
67,Muffin,30-10-2016 13:46
68,Frittata,30-10-2016 13:49
68,Coffee,30-10-2016 13:49
68,Tea,30-10-2016 13:49
68,Scandinavian,30-10-2016 13:49
68,Chicken sand,30-10-2016 13:49
69,Bread,30-10-2016 13:51
69,Tea,30-10-2016 13:51
69,Victorian Sponge,30-10-2016 13:51
70,Fudge,30-10-2016 13:54
71,Muffin,30-10-2016 13:56
72,Coffee,30-10-2016 14:21
72,Bread,30-10-2016 14:21
73,Bread,30-10-2016 14:22
74,Coffee,30-10-2016 14:24
74,Bread,30-10-2016 14:24
75,Jam,30-10-2016 14:32
75,Frittata,30-10-2016 14:32
76,Coffee,30-10-2016 14:32
77,Scandinavian,30-10-2016 14:35
78,Fudge,30-10-2016 14:42
79,Fudge,30-10-2016 14:45
79,Tea,30-10-2016 14:45
79,Coffee,30-10-2016 14:45
79,Muffin,30-10-2016 14:45
80,Frittata,30-10-2016 14:48
80,Bread,30-10-2016 14:48
80,Coffee,30-10-2016 14:48
81,Coffee,31-10-2016 08:28
81,Cake,31-10-2016 08:28
82,Tartine,31-10-2016 08:47
82,Bread,31-10-2016 08:47
83,Coffee,31-10-2016 08:57
83,Bread,31-10-2016 08:57
84,Bread,31-10-2016 09:04
85,Coffee,31-10-2016 09:10
85,Coffee,31-10-2016 09:10
85,Pastry,31-10-2016 09:10
85,Medialuna,31-10-2016 09:10
86,Juice,31-10-2016 09:11
87,Bread,31-10-2016 09:12
88,Coffee,31-10-2016 09:16
88,Coffee,31-10-2016 09:16
88,Jam,31-10-2016 09:16
89,Bread,31-10-2016 09:19
90,Bread,31-10-2016 09:20
90,Coffee,31-10-2016 09:20
91,Tea,31-10-2016 09:22
92,Coffee,31-10-2016 09:27
93,Bread,31-10-2016 09:29
93,Coke,31-10-2016 09:29
94,Coffee,31-10-2016 09:39
94,Coffee,31-10-2016 09:39
95,Tea,31-10-2016 09:43
95,Pastry,31-10-2016 09:43
95,Farm House,31-10-2016 09:43
96,Pastry,31-10-2016 09:46
96,Pastry,31-10-2016 09:46
96,Coffee,31-10-2016 09:46
96,Juice,31-10-2016 09:46
97,Coffee,31-10-2016 09:51
97,Pastry,31-10-2016 09:51
97,Juice,31-10-2016 09:51
98,Farm House,31-10-2016 09:52
99,Pastry,31-10-2016 09:56
