Invoice ID,Gender,Product line,Quantity,Date
750-67-8428,Female,Health and beauty,7,1/5/2019
226-31-3081,Female,Electronic accessories,5,3/8/2019
631-41-3108,Male,Home and lifestyle,7,3/3/2019
123-19-1176,Male,Health and beauty,8,1/27/2019
373-73-7910,Male,Sports and travel,7,2/8/2019
699-14-3026,Male,Electronic accessories,7,3/25/2019
355-53-5943,Female,Electronic accessories,6,2/25/2019
315-22-5665,Female,Home and lifestyle,10,2/24/2019
665-32-9167,Female,Health and beauty,2,1/10/2019
692-92-5582,Female,Food and beverages,3,2/20/2019
351-62-0822,Female,Fashion accessories,4,2/6/2019
529-56-3974,Male,Electronic accessories,4,3/9/2019
365-64-0515,Female,Electronic accessories,5,2/12/2019
252-56-2699,Male,Food and beverages,10,2/7/2019
829-34-3910,Female,Health and beauty,10,3/29/2019
299-46-1805,Female,Sports and travel,6,1/15/2019
656-95-9349,Female,Health and beauty,7,3/11/2019
765-26-6951,Male,Sports and travel,6,1/1/2019
329-62-1586,Male,Food and beverages,3,1/21/2019
319-50-3348,Female,Home and lifestyle,2,3/11/2019
300-71-4605,Male,Electronic accessories,5,2/25/2019
371-85-5789,Male,Health and beauty,3,3/5/2019
273-16-6619,Male,Home and lifestyle,2,3/15/2019
636-48-8204,Male,Electronic accessories,5,2/17/2019
549-59-1358,Male,Sports and travel,3,3/2/2019
227-03-5010,Female,Home and lifestyle,8,3/22/2019
649-29-6775,Male,Fashion accessories,1,2/8/2019
189-17-4241,Female,Fashion accessories,2,3/10/2019
145-94-9061,Female,Food and beverages,5,1/25/2019
848-62-7243,Male,Health and beauty,9,3/15/2019
871-79-8483,Male,Fashion accessories,5,2/25/2019
149-71-6266,Male,Sports and travel,9,1/28/2019
640-49-2076,Male,Sports and travel,8,1/10/2019
595-11-5460,Male,Health and beauty,2,3/15/2019
183-56-6882,Female,Food and beverages,4,2/6/2019
232-16-2483,Female,Sports and travel,1,1/7/2019
129-29-8530,Male,Sports and travel,5,3/10/2019
272-65-1806,Female,Electronic accessories,9,1/15/2019
333-73-7901,Female,Health and beauty,8,3/23/2019
777-82-7220,Male,Home and lifestyle,8,3/3/2019
280-35-5823,Female,Home and lifestyle,1,1/17/2019
554-53-8700,Male,Home and lifestyle,2,2/2/2019
354-25-5821,Female,Sports and travel,6,2/8/2019
228-96-1411,Female,Food and beverages,8,3/4/2019
617-15-4209,Male,Health and beauty,2,3/16/2019
132-32-9879,Female,Electronic accessories,4,3/9/2019
370-41-7321,Male,Health and beauty,9,2/27/2019
727-46-3608,Female,Food and beverages,9,2/6/2019
669-54-1719,Male,Electronic accessories,6,2/10/2019
574-22-5561,Female,Fashion accessories,10,3/19/2019
326-78-5178,Male,Food and beverages,7,2/3/2019
162-48-8011,Female,Food and beverages,5,2/10/2019
616-24-2851,Female,Fashion accessories,4,3/22/2019
778-71-5554,Male,Fashion accessories,1,1/25/2019
242-55-6721,Male,Home and lifestyle,2,3/7/2019
399-46-5918,Female,Electronic accessories,8,2/28/2019
106-35-6779,Male,Home and lifestyle,2,3/27/2019
635-40-6220,Male,Health and beauty,8,2/7/2019
817-48-8732,Female,Home and lifestyle,10,1/20/2019
120-06-4233,Male,Electronic accessories,6,3/12/2019
285-68-5083,Female,Sports and travel,3,2/15/2019
803-83-5989,Male,Home and lifestyle,6,2/24/2019
347-34-2234,Female,Sports and travel,9,2/3/2019
199-75-8169,Male,Sports and travel,10,3/6/2019
853-23-2453,Male,Health and beauty,4,2/14/2019
